geo_point_2d;geo_shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.8310288, -0.5718999;"{""coordinates"": [-0.5718999, 44.8310288], ""type"": ""Point""}";33063;CUBPK29;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Place de la Victoire 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;10;PAYANT_TARIF_HORAIRE;110.0;;31;60;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:27+00:00;https://www.mtpk.fr/;0;0;1.6;HYPER_CENTRE;457;0;216;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Victoire;290;REGIE_AUTONOME;ENTERRE;1984;75.0;14;2018-06-01T00:00:00+00:00;457;2.5;45.0
44.8388659, -0.5863109;"{""coordinates"": [-0.5863109, 44.8388659], ""type"": ""Point""}";33063;CUBPK28;453 335 069 00010;FERMé POUR TRAVAUX DEPUIS LE _ décembre 2023;Rue Robert Lateulade 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;3;PAYANT_TARIF_HORAIRE;115.0;;70;48;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:31+00:00;https://www.mtpk.fr/;0;418;1.6;HYPER_CENTRE;997;0;219;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;11;1;0;FERME;Front Du Medoc;70;REGIE_AUTONOME;SILO;1977;75.0;69;2018-06-01T00:00:00+00:00;454;1.8;45.0
44.8391646, -0.5839712;"{""coordinates"": [-0.5839712, 44.8391646], ""type"": ""Point""}";33063;CUBPK30;453 335 069 00010;"Vélos: 45€/an ou 10€/mois; 2h gratuite clients Centre commercial quand il est ouvert";Rue Claude Bonnier 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;34;PAYANT_TARIF_HORAIRE;125.0;;275;32;0;0;5;0;0.0;5;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:41+00:00;https://www.mtpk.fr/;19;0;1.6;HYPER_CENTRE;1267;0;220;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Centre Commercial Meriadeck;1067;REGIE_AUTONOME;MIXTE;1980;80.0;33;2018-06-01T00:00:00+00:00;1267;2.5;45.0
44.8389894, -0.5720891;"{""coordinates"": [-0.5720891, 44.8389894], ""type"": ""Point""}";33063;CUBPK06;320 229 644 05241;;Place Camille Jullian - 33000 BORDEAUX;INDIGO_PARK;3.1;8.2;;1.2;20.4;7;PAYANT_TARIF_HORAIRE;164.0;;229;0;0;0;0;0;0.0;4;10.5;;8.3;6.6;28.6;1.9;2024-10-01T08:14:18+00:00;https://fr.parkindigo.com/parking/camille-jullian-33001400;0;0;2.4;HYPER_CENTRE;338;0;224;1.9;INDIGO_CENTRAL_PARCS;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Camille Jullian;320;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;1991;128.0;5;2018-06-01T00:00:00+00:00;338;2.5;62.0
44.8345879, -0.5800428;"{""coordinates"": [-0.5800428, 44.8345879], ""type"": ""Point""}";33063;CUBPK26;453 335 069 00010;Vélos: 45€/an ou 10€/mois, Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place de la République 33100 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;9;PAYANT_TARIF_HORAIRE;125.0;;23;18;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:38+00:00;https://www.mtpk.fr/;0;0;1.6;HYPER_CENTRE;406;0;225;1.8;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;1;0;LIBRE;Republique;394;REGIE_AUTONOME;ENTERRE;1980;80.0;10;2018-06-01T00:00:00+00:00;406;2.5;45.0
44.8428111, -0.5774475;"{""coordinates"": [-0.5774475, 44.8428111], ""type"": ""Point""}";33063;CUBPK07;453 335 069 00010;Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place des Grands Hommes- 33000 BORDEAUX;METPARK;3.2;6.0;;0.8;20.0;9;PAYANT_TARIF_HORAIRE;125.0;;198;0;0;0;2;0;0.0;6;11.2;;8.8;6.4;20.0;1.9;2024-10-01T08:14:24+00:00;https://www.mtpk.fr/parkings/parking-grands-hommes/;0;0;1.6;HYPER_CENTRE;413;0;226;1.9;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;1;0;LIBRE;Grands Hommes;405;REGIE_AUTONOME;ENTERRE;1989;;0;2018-06-01T00:00:00+00:00;413;2.5;
44.8267061, -0.559011;"{""coordinates"": [-0.559011, 44.8267061], ""type"": ""Point""}";33063;CUBPK22;435 272 596 01814;;59 rue de Saget 33800 Bordeaux;EFFIA_STATIONNEMENT;;;;;;3;PAYANT_RESERVE_ABONNES;83.0;;;0;0;0;0;0;0.0;3;;;;;;1.9;2023-02-22T11:14:07+00:00;https://www.resaplace.com/fr/parking/bordeaux-gare-sncf-le-roy-179;0;0;;CENTRE;137;0;251;1.9;EFFIA;SNCF;0;NORMAL_PAYANT;0;0;0;OUVERT;Leroy;;CONCESSION_DE_SERVICE;ENTERRE;2010;83.0;12;2018-06-01T00:00:00+00:00;137;1.8;41.5
44.8245206, -0.5661676;"{""coordinates"": [-0.5661676, 44.8245206], ""type"": ""Point""}";33063;CUBPK75;453 335 069 00010;Résidents seulement;120 Rue de Bègles 33800 Bordeaux;METPARK;;;;;;3;PAYANT_RESERVE_ABONNES;100.0;;;0;0;0;0;0;0.0;1;;;;;;1.8;2024-04-17T07:42:10+00:00;https://www.mtpk.fr/;0;0;;CENTRE;63;0;252;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;Rue De Begles;;REGIE_AUTONOME;ENTERRE;2014;70.0;0;2018-06-01T00:00:00+00:00;63;1.8;
44.8640767, -0.5503609;"{""coordinates"": [-0.5503609, 44.8640767], ""type"": ""Point""}";33063;CUBPK80;692 051 113 00102;31 places électriques de plus d'ici fin 2023 pour un total de 51;2 Rue de Gironde 33300 Bordeaux;INTERPARKING;2.2;7.5;5.0;0.5;19.4;9;PAYANT_TARIF_HORAIRE;105.0;;0;93;4;0;0;0;0.0;7;9.8;;8.0;5.0;21.0;1.95;2024-02-16T00:32:35+00:00;https://www.interparking.fr/fr-FR/find-parking/LaCiteduVin/;21;0;1.1;CENTRE;405;4;254;1.95;INTERPARKING;INTERPARKING;0;NORMAL_PAYANT;0;0;0;INCONNU;Cite Du Vin;0;GESTION_PRIVEE;SILO;2017;105.0;13;2018-06-01T00:00:00+00:00;405;0.0;43.0
44.8670739, -0.5762883;"{""coordinates"": [-0.5762883, 44.8670739], ""type"": ""Point""}";33069;CUBPK54;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Allées de Boutaut 33110 Le Bouscat;KEOLIS;4.5;;0.0;4.5;4.5;9;PAYANT_TARIF_PARC_RELAIS;;0.0;0;24;0;0;0;10;0.0;6;4.5;4.5;4.5;4.5;;2.0;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;2;0;4.5;PERIPHERIE;369;6;256;2.0;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;369;COMPLET;Parc-Relais Ravezies Le Bouscat;363;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2008;;26;2018-06-01T00:00:00+00:00;369;0.0;
44.8882273, -0.6111779;"{""coordinates"": [-0.6111779, 44.8882273], ""type"": ""Point""}";33075;CUBPK77;80822705200012;4.50€ pour 2 à 5 passagers;Avenue de Terrefort 33520 Bruges;KEOLIS;4.5;;;4.5;4.5;3;PAYANT_TARIF_PARC_RELAIS;;0.0;21;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.2;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;58;0;259;2.2;TBM;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;58;LIBRE;Parc-Relais Gare De Bruges;58;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2016;;0;2018-06-01T00:00:00+00:00;58;0.0;
44.8238769, -0.5300949;"{""coordinates"": [-0.5300949, 44.8238769], ""type"": ""Point""}";33167;CUBPK82;453 335 069 00010;"tarif parc relais hors heures de spectacles; forfait spectacle 14€ en 2024";Rue Pierre Kaldor 33270 Floirac;METPARK;2.0;3.0;;0.5;8.0;25;PAYANT_TARIF_HORAIRE;70.0;;698;0;0;0;0;0;0.0;5;8.0;;6.0;4.0;8.0;2.0;2024-10-01T08:14:18+00:00;https://www.mtpk.fr/;12;0;1.0;PERIPHERIE;961;0;261;2.0;METPARK;METPARK;0;NORMAL_PAYANT;0;1;400;LIBRE;Floirac Arena;962;REGIE_AUTONOME;SILO;2018;50.0;0;2018-06-01T00:00:00+00:00;961;0.0;
44.8592522, -0.6682423;"{""coordinates"": [-0.6682423, 44.8592522], ""type"": ""Point""}";33200;CUBPK57;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Adrienne Bolland 33185 Le Haillan;KEOLIS;4.5;;;4.5;4.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;83;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;204;0;262;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;204;LIBRE;Parc-Relais Le Haillan Rostand;204;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2015;;5;2018-06-01T00:00:00+00:00;204;0.0;
44.8314625, -0.7018194;"{""coordinates"": [-0.7018194, 44.8314625], ""type"": ""Point""}";33281;CUBPK09;320 229 644 05241;;Avenue Kennedy - 33700 MERIGNAC;INDIGO_PARK;14.5;;;4.5;20.9;3;PAYANT_TARIF_HORAIRE;;;;0;0;0;0;0;0.0;1;16.1;;15.3;10.5;22.0;1.9;2024-04-24T13:15:46+00:00;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;22;0;4.5;PERIPHERIE;341;0;267;1.9;INDIGO_PARK;AEROPORT_DE_BORDEAUX;0;NORMAL_PAYANT;0;0;0;OUVERT;Aeroport P0 Confort;;CONCESSION_DE_SERVICE;SURFACE;2016;;0;2018-06-01T00:00:00+00:00;341;0.0;
44.8284087, -0.6917486;"{""coordinates"": [-0.6917486, 44.8284087], ""type"": ""Point""}";33281;CUBPK12;320 229 644 05241;places Handicapés au P2 avec tarif P4, stationnement minimal de 12 heures pour 15€;Avenue Kennedy - 33700 MERIGNAC;INDIGO_PARK;4.5;;;3.0;14.5;10;PAYANT_TARIF_HORAIRE;;;;0;0;0;0;0;0.0;1;9.7;;8.5;6.5;16.0;4.0;2024-04-23T08:59:36+00:00;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;0;0;3.5;PERIPHERIE;3427;0;271;4.0;INDIGO_PARK;AEROPORT_DE_BORDEAUX;0;AUTRE;0;0;0;OUVERT;Aeroport P4 Longue Duree;;CONCESSION_DE_SERVICE;SURFACE;2008;;0;2018-06-01T00:00:00+00:00;3427;0.0;
44.8328142, -0.6980962;"{""coordinates"": [-0.6980962, 44.8328142], ""type"": ""Point""}";33281;CUBPK11;320 229 644 05241;25 places P2 Handicap au tarif P4;Avenue Kennedy - 33700 MERIGNAC;INDIGO_PARK;4.5;;;3.0;14.5;25;PAYANT_TARIF_HORAIRE;;;;0;0;0;0;0;0.0;1;9.7;;8.5;6.5;16.0;2.3;2024-04-24T13:20:06+00:00;http://www.bordeaux.aeroport.fr/fr/info/parkings-aeroport-bordeaux;0;0;3.5;PERIPHERIE;3377;0;272;2.3;INDIGO_PARK;AEROPORT_DE_BORDEAUX;0;NORMAL_PAYANT;0;0;0;OUVERT;Aeroport P2 Flexi;;CONCESSION_DE_SERVICE;SURFACE;2008;;0;2018-06-01T00:00:00+00:00;3377;0.0;
44.8051041, -0.6322405;"{""coordinates"": [-0.6322405, 44.8051041], ""type"": ""Point""}";33318;CUBPK40;453 335 069 00010;"Vélos: 45€/an ou 10€/mois; 2 heures gratuites; Parc mixte avec places P+R abonnés";Rue des Poilus 33600 Pessac;METPARK;0.0;3.0;10.0;0.0;8.0;6;PAYANT_TARIF_HORAIRE;70.0;0.0;165;20;0;0;0;0;0.0;3;8.0;;6.0;0.0;8.0;1.8;2024-10-01T08:13:34+00:00;https://www.mtpk.fr/;2;0;0.0;PERIPHERIE;343;0;275;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;84;LIBRE;Pessac Centre;296;REGIE_AUTONOME;ENTERRE;1985;50.0;6;2018-06-01T00:00:00+00:00;343;0.0;30.0
44.7936623, -0.6350514;"{""coordinates"": [-0.6350514, 44.7936623], ""type"": ""Point""}";33318;CUBPK43;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Avenue Bougnard 33600 Pessac;KEOLIS;4.5;;0.0;4.5;4.5;10;PAYANT_TARIF_PARC_RELAIS;;0.0;49;44;0;0;0;6;0.0;1;4.5;4.5;4.5;4.5;;2.2;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;168;7;276;2.2;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;168;LIBRE;Parc-Relais Bougnard;168;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2004;;48;2018-06-01T00:00:00+00:00;168;0.0;
44.7933143, -0.6569533;"{""coordinates"": [-0.6569533, 44.7933143], ""type"": ""Point""}";33318;CUBPK59;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Rue Notre Dame de Lorette 33600 Pessac;KEOLIS;3.5;;0.0;3.5;3.5;4;PAYANT_TARIF_PARC_RELAIS;;0.0;125;30;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;4;0;3.5;PERIPHERIE;148;7;278;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;148;LIBRE;Parc-Relais Gare De Pessac Alouette;148;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2015;;0;2018-06-01T00:00:00+00:00;148;0.0;
44.7884435, -0.6506672;"{""coordinates"": [-0.6506672, 44.7884435], ""type"": ""Point""}";33318;CUBPK88;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Allée Héliodore Galienne 33600 Pessac;KEOLIS;3.5;;0.0;3.5;3.5;7;PAYANT_TARIF_PARC_RELAIS;;0.0;136;28;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;4;0;3.5;PERIPHERIE;144;6;321;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;144;LIBRE;Parc-Relais Cap Metiers;146;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SILO;2018;;0;2018-11-13T16:04:59+00:00;144;0.0;
44.8562762, -0.6594896;"{""coordinates"": [-0.6594896, 44.8562762], ""type"": ""Point""}";33281;CUBPK58;80822705200012;abonnement annuel Riverain nocturne 300€ et forfait court-séjour, 3.5€ pour tous les occupants du VL;Rue Alphonse Daudet 33700 Mérignac;KEOLIS;3.5;;0.0;3.5;3.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;205;40;0;0;0;5;0.0;1;3.5;3.5;3.5;3.5;;2.1;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;3.5;PERIPHERIE;220;7;273;2.1;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;220;LIBRE;Parc-Relais Les Pins;220;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2015;;10;2018-06-01T00:00:00+00:00;220;0.0;
44.8330679, -0.5978106;"{""coordinates"": [-0.5978106, 44.8330679], ""type"": ""Point""}";33063;CUBPK35;453 335 069 00010;Vélos: 45€/an ou 10€/mois;48 rue du Général Larminat 33000 Bordeaux;METPARK;2.8;6.0;10.0;0.7;20.0;9;PAYANT_TARIF_HORAIRE;125.0;;471;30;0;0;0;0;0.0;4;10.4;;8.0;5.6;20.0;1.8;2024-10-01T08:13:37+00:00;https://www.mtpk.fr/;3;0;1.4;CENTRE;707;0;231;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Porte De Bordeaux;707;REGIE_AUTONOME;ENTERRE;1992;80.0;0;2018-06-01T00:00:00+00:00;707;1.8;
44.8494494, -0.5464421;"{""coordinates"": [-0.5464421, 44.8494494], ""type"": ""Point""}";33063;CUBPK48;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue Gustave Eiffel 33100 Bordeaux;KEOLIS;4.5;;0.0;4.5;4.5;8;PAYANT_TARIF_PARC_RELAIS;;0.0;0;36;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;CENTRE;279;0;235;1.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;279;COMPLET;Parc-Relais Galin;279;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2003;;36;2018-06-01T00:00:00+00:00;279;0.0;
44.853986, -0.5928029;"{""coordinates"": [-0.5928029, 44.853986], ""type"": ""Point""}";33063;CUBPK73;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Impasse des Cossus 33000 Bordeaux;METPARK;2.8;6.0;10.0;0.7;20.0;2;PAYANT_TARIF_HORAIRE;100.0;;22;18;0;0;0;0;0.0;3;10.4;;8.0;5.6;20.0;1.95;2024-10-01T08:14:23+00:00;https://www.mtpk.fr/;2;0;1.4;PERIPHERIE;92;0;238;1.95;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Nicolas Beaujon;87;REGIE_AUTONOME;SILO;2016;80.0;0;2018-06-01T00:00:00+00:00;92;1.8;
44.8731899, -0.575195;"{""coordinates"": [-0.575195, 44.8731899], ""type"": ""Point""}";33063;CUBPK52;80822705200012;4.5€ pour 1 à 5 passagers dans le VL;Rue du jonc 33000 Bordeaux;KEOLIS;4.5;;;4.5;4.5;5;PAYANT_TARIF_PARC_RELAIS;;0.0;201;0;0;0;0;5;0.0;1;4.5;4.5;4.5;4.5;;2.2;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;0;0;4.5;PERIPHERIE;234;0;240;2.2;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;234;LIBRE;Parc-Relais Les Aubiers;234;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2008;;40;2018-06-01T00:00:00+00:00;234;0.0;
44.8514501, -0.5892515;"{""coordinates"": [-0.5892515, 44.8514501], ""type"": ""Point""}";33063;CUBPK37;453 335 069 00010;Abonnés seulement;Rue Croix de Seguey 33000 Bordeaux;METPARK;;;;;;2;PAYANT_RESERVE_ABONNES;115.0;;;0;0;0;0;0;0.0;1;;;;;;1.8;2024-01-16T10:30:27+00:00;https://www.mtpk.fr/;0;0;;CENTRE;51;0;241;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;Croix De Seguey;;REGIE_AUTONOME;SURFACE;2003;75.0;0;2018-06-01T00:00:00+00:00;51;1.8;
44.8451627, -0.5787155;"{""coordinates"": [-0.5787155, 44.8451627], ""type"": ""Point""}";33063;CUBPK32;453 335 069 00010;"Résidents seulement; Vélos: 45€/an ou 10€/mois";Rue Lhote 33000 Bordeaux;METPARK;;;10.0;;;5;PAYANT_RESERVE_ABONNES;125.0;;;32;0;0;0;0;0.0;4;;;;;;1.8;2024-04-17T07:40:30+00:00;https://www.mtpk.fr/;0;0;;HYPER_CENTRE;111;0;242;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;Lhote;;REGIE_AUTONOME;SILO;2004;80.0;0;2018-06-01T00:00:00+00:00;111;2.5;45.0
44.8465148, -0.5723176;"{""coordinates"": [-0.5723176, 44.8465148], ""type"": ""Point""}";33063;CUBPK110;453 335 069 00010;350€ forfait 6 mois mars à septembre - 10 emplacements réserves aux autocars;Allees de Bristol depuis quais 33000 Bordeaux;METPARK;8.0;;;2.0;39.0;0;PAYANT_TARIF_HORAIRE;60.0;;;0;0;12;0;0;0.0;1;27.0;;21.0;15.0;39.0;4.0;2024-01-16T10:54:10+00:00;https://www.mtpk.fr/nos-offres/#pros;0;0;4.0;HYPER_CENTRE;12;0;1613;4.0;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;0;0;OUVERT;Park Cars Tourisme Allees De Bristol Metpark;;REGIE_AUTONOME;ENCLOS;2018;;0;2022-04-21T14:21:29+00:00;0;2.5;
44.842649, -0.64766;"{""coordinates"": [-0.64766, 44.842649], ""type"": ""Point""}";33281;CUBPK39;453 335 069 00010;Vélos: 45€/an ou 10€/mois. 1h gratuite semaine +samedi 8 à 13h gratuit. Parc mixte avec places P+R abonnés;Place Charles de Gaulle 33700 Merignac;METPARK;2.0;3.0;10.0;0.0;8.0;6;PAYANT_TARIF_HORAIRE;70.0;0.0;194;55;0;0;0;0;0.0;3;8.0;;6.0;3.0;8.0;1.8;2024-10-01T08:13:26+00:00;https://www.mtpk.fr/;3;0;0.0;PERIPHERIE;280;0;266;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;84;LIBRE;Merignac Centre;280;REGIE_AUTONOME;ENTERRE;1985;50.0;20;2018-06-01T00:00:00+00:00;280;0.0;30.0
44.822314, -0.5552388;"{""coordinates"": [-0.5552388, 44.822314], ""type"": ""Point""}";33063;CUBPK108;320 229 644 05241;accès identiques pour les parkings P4 et P3 et pour ARRET MINUTE P3Belcier - Saint Jean;Rond-Point Pierre Sémard 33800 BORDEAUX;INDIGO_PARK;8.0;;;2.0;43.0;0;PAYANT_TARIF_HORAIRE;;;0;0;0;0;0;0;0.0;1;27.0;;21.0;15.0;43.0;1.88;2024-10-01T08:14:52+00:00;https://fr.parkindigo.com/parkings-france/bordeaux;0;0;4.0;CENTRE;112;0;1575;1.88;INDIGO_INFRA_FRANCE;SNCF_GARES_ET_CONNEXIONS_BAIL_45_ANS;0;NORMAL_PAYANT;0;1;0;COMPLET;Gare Saint Jean - Arret Minute P3 Belcier;103;AUTORISATION_OCCUPATION_TEMPORAIRE;SILO;2017;;0;2022-03-08T14:59:17+00:00;112;1.8;
44.8204466, -0.5556937;"{""coordinates"": [-0.5556937, 44.8204466], ""type"": ""Point""}";33063;CUBPK111;69205111300102;mise en service aout 2023;27 Rue Paul Peyrat, 33800 Bordeaux;INTERPARKING;1.0;;;0.5;10.0;10;PAYANT_TARIF_HORAIRE;99.0;;;0;0;0;0;0;0.0;5;4.0;;3.0;2.0;12.0;1.9;2024-08-21T08:37:29+00:00;https://www.interparking.fr/fr-FR/find-parking/ParkingSaintJeanARMAGNAC/;99;0;0.5;CENTRE;496;0;1663;1.9;INTERPARKING;INTERPARKING;0;NORMAL_PAYANT;0;0;0;OUVERT;Saint Jean Armagnac;;GESTION_PRIVEE;SILO;2023;99.0;7;2023-08-28T14:50:00+00:00;496;;99.0
44.8388371, -0.5548014;"{""coordinates"": [-0.5548014, 44.8388371], ""type"": ""Point""}";33063;CUBPK112;453 335 069 00010;ouverture en janvier 2024;6 rue René Buthaud 33100 Bordeaux;METPARK;2.8;6.0;;0.7;20.0;9;PAYANT_TARIF_HORAIRE;105.0;;213;0;0;0;0;0;0.0;2;10.4;;8.0;5.6;20.0;2.0;2024-10-01T08:13:46+00:00;https://www.mtpk.fr/parkings/;19;0;1.4;CENTRE;401;0;1753;2.0;METPARK;METPARK;0;NORMAL_PAYANT;0;1;0;LIBRE;Amplitude Metpark;332;REGIE_AUTONOME;SILO;2023;80.0;0;2024-01-17T10:56:15+00:00;401;1.8;45.0
